Area,Task,Current Status,Owner,Priority,Notes
All contact forms,Confirm HubSpot forms/modal forms and final recipient/workflow,Not Started / Needs Confirmation,,High,
Favicon,Confirm favicon exists and appears correctly,Not Started / Needs Confirmation,,High,
Metadata and meta tags,"Confirm title, description, OG tags for all important pages",Not Started / Needs Confirmation,,High,
Internal linking and redirects,"Confirm clean URLs, old URL redirects, nav/footer links",Not Started / Needs Confirmation,,High,
CTA forms,Confirm all CTAs route to correct page/form/modal,Not Started / Needs Confirmation,,High,
reCAPTCHA,Confirm whether required for HubSpot/native forms,Not Started / Needs Confirmation,,High,
Sitemap,Create/confirm sitemap.xml,Not Started / Needs Confirmation,,High,
Privacy Policy,Create/confirm privacy policy URL,Not Started / Needs Confirmation,,High,
Google Analytics,Confirm GA4 Measurement ID and whether dev/prod should be tracked,Not Started / Needs Confirmation,,High,
Google Tag Manager,Confirm GTM container ID and placement,Not Started / Needs Confirmation,,High,
Robots.txt,Create/confirm robots.txt rules for dev/prod,Not Started / Needs Confirmation,,High,
Google Search Console,Confirm property type and verification method,Not Started / Needs Confirmation,,High,
Security testing,Basic checks before launch,Not Started / Needs Confirmation,,High,
Responsiveness,Check desktop/tablet/mobile key pages,Not Started / Needs Confirmation,,High,
Page load speed and Core Web Vitals,Run Lighthouse/PageSpeed checks on key pages,Not Started / Needs Confirmation,,High,
Cookie consent banner and cookie policy,Confirm consent requirements and implementation,Not Started / Needs Confirmation,,High,
Terms of Use / Terms of Service page,Create/confirm legal page,Not Started / Needs Confirmation,,High,
Accessibility statement,Create/confirm accessibility statement,Not Started / Needs Confirmation,,High,
CCPA opt-out mechanism if applicable,Confirm applicability with legal/compliance,Not Started / Needs Confirmation,,High,
